text_equiv	language	font_family	segment_type	segment_id	url_id	region	rotation	full_region	full_rotation
Stühlen	German	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0007_word0005	53	1943,4357,275,84	0.0	330,3310,5103,5551	0.0
Töpferglätte,	German	Fraktur	Word	Kolonie-Zeitung-1867-02-23_P03_r1_line0012_word0003	23	1149,5917,372,76	0.125	582,4766,2652,1434	0.125
hier	German	Fraktur	Word	Kolonie-Zeitung-1877-08-25_P03_r1_line0003_word0007	95	2766,8587,121,81	0.25	519,8414,2496,459	0.25
viele	German	Fraktur	Word	Der-Pionier-1887-07-02_P03_r1_line0068_word0002	210	468,1787,74,36	0.0	16,142,2560,2064	0.0
Unternehmens	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0014_word0004	125	1449,2358,479,82	359.375	233,456,2172,6851	359.375
billige	German	Fraktur	Word	Kolonie-Zeitung-1889-12-24_P03_r1_line0021_word0002	195	3095,7555,227,104	0.0	2507,4596,2157,3839	0.0
Eltern,	German	Fraktur	Word	Kolonie-Zeitung-1881-02-12_P03_r1_line0011_word0003	108	3574,5128,235,77	359.125	2967,4152,2520,1339	359.125
„Ueber	German	Fraktur	Word	Kolonie-Zeitung-1868-08-01_P03_r1_line0019_word0004	34	1229,6793,190,65	0.0	483,5282,2500,2814	0.0
und	German	Antiqua	Word	Der-Pionier-1891-04-22_P02_r1_line0007_word0001	289	6103,3825,262,148	0.375	5112,1977,1747,2981	0.375
a.	German	Antiqua	Word	Kolonie-Zeitung-1880-10-23_P03_r1_line0001_word0004	106	1525,5483,64,47	0.0	356,5294,2520,1422	0.0
des	German	Fraktur	Word	Deutsches-Echo-1886-09-04_P05_r1_line0006_word0005	208	2875,2278,54,30	0.0	2315,1940,1113,678	0.0
für	German	Fraktur	Word	Kolonie-Zeitung-1875-08-21_P03_r1_line0003_word0001	89	3766,5199,100,87	0.375	3227,4706,2134,1813	0.375
dass	German	Antiqua	Word	Kolonie-Zeitung-1887-04-08_P03_r1_line0003_word0001	143	2910,2555,157,69	0.0	2762,2286,2021,929	0.0
Norte.	Portuguese	Fraktur	Word	Kolonie-Zeitung-1887-10-14_P03_r1_line0030_word0001	161	3152,3235,208,71	359.75	2962,969,2082,3254	359.75
offenen	German	Fraktur	Word	Kolonie-Zeitung-1872-05-04_P03_r1_line0020_word0000	55	2955,7334,235,74	0.5	2931,5739,2499,1886	0.5
Leſer	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0029_word0004	64	1592,6689,141,77	0.125	441,4191,2488,4398	0.125
des	German	Antiqua	Word	Der-Pionier-1891-11-14_P03_r1_line0000_word0005	297	3111,7851,88,54	0.0	2093,7706,1405,2087	0.0
als	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0034_word0008	64	2046,7124,89,60	0.125	441,4191,2488,4398	0.125
H.	German	Fraktur	Word	Kolonie-Zeitung-1882-11-17_P03_r1_line0008_word0004	128	3885,5604,115,99	0.0	2536,4656,1955,1060	0.0
Kraftſtück,	German	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0012_word0001	53	1520,4835,336,89	0.0	330,3310,5103,5551	0.0
Pfingſttage):	German	Fraktur	Word	Kolonie-Zeitung-1874-05-16_P03_r1_line0001_word0008	76	4786,6008,431,91	0.625	2916,5806,2455,1942	0.625
Herren	German	Fraktur	Word	Kolonie-Zeitung-1867-11-30_P03_r1_line0002_word0004	27	1556,4221,186,65	359.75	613,4008,2645,2109	359.75
werde.	German	Fraktur	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0021_word0008	117	2492,7383,214,65	0.375	374,5316,2516,2688	0.375
volle	German	Fraktur	Word	Kolonie-Zeitung-1889-12-24_P03_r1_line0021_word0000	195	2668,7555,178,81	0.0	2507,4596,2157,3839	0.0
an	German	Fraktur	Word	Kolonie-Zeitung-1873-12-20_P03_r1_line0015_word0003	71	941,6381,84,53	0.0	217,5044,2483,1775	0.0
und	German	Fraktur	Word	Kolonie-Zeitung-1887-05-20_P03_r1_line0003_word0001	147	5214,2150,124,56	359.75	4895,704,2080,3483	359.75
Größen,	German	Fraktur	Word	Kolonie-Zeitung-1888-12-11_P01_r1_line0012_word0010	185	6477,2116,270,82	359.5	2695,623,4085,3247	359.5
angeworben	German	Fraktur	Word	Kolonie-Zeitung-1873-12-20_P03_r1_line0013_word0001	71	507,6194,406,90	0.0	217,5044,2483,1775	0.0
Laemmert	German	Antiqua	Word	Kolonie-Zeitung-1882-11-17_P03_r1_line0006_word0002	128	3585,5382,427,78	0.0	2536,4656,1955,1060	0.0
entgegen	German	Fraktur	Word	Der-Pionier-1891-03-21_P03_r1_line0007_word0001	285	4142,5113,365,89	0.0	3695,4447,1649,1155	0.0
Chores	German	Antiqua	Word	Kolonie-Zeitung-1887-09-30_P03_r1_line0009_word0001	160	1377,5884,329,114	0.25	698,4900,2112,2369	0.25
Magdalena	German	Kanzlei	Word	Kolonie-Zeitung-1879-08-16_P03_r1_line0003_word0000	101	3692,6147,491,113	0.0	3154,5792,2119,560	0.0
empfohlen	German	Fraktur	Word	Kolonie-Zeitung-1866-10-27_P03_r1_line0004_word0000	22	1203,5391,280,71	359.875	701,4861,2645,942	359.875
den	German	Fraktur	Word	Kolonie-Zeitung-1869-12-18_P03_r1_line0007_word0003	43	4168,5260,125,77	0.5	2896,4902,2478,1634	0.5
auch	German	Fraktur	Word	Kolonie-Zeitung-1881-07-09_P03_r1_line0008_word0004	115	1752,5969,140,83	359.75	372,5264,2498,1517	359.75
Lager	German	Fraktur	Word	Der-Pionier-1887-07-02_P03_r1_line0064_word0004	210	667,1655,97,39	0.0	16,142,2560,2064	0.0
Dr.	Portuguese	Fraktur	Word	Kolonie-Zeitung-1881-04-09_P03_r1_line0004_word0000	110	3600,6963,135,79	359.875	3394,6358,1752,1312	359.875
Perſonen:	German	Fraktur	Word	Kolonie-Zeitung-1863-10-10_P03_r1_line0009_word0000	5	2542,3170,409,85	0.0	415,2513,3072,1971	0.0
Chokolade	German	Fraktur	Word	Kolonie-Zeitung-1878-11-09_P03_r1_line0004_word0000	100	5864,3716,871,181	0.0	5670,2861,1222,1522	0.0
Eliſabeth	German	Textura	Word	Der-Pionier-1888-08-04_P03_r1_line0000_word0000	237	328,848,685,244	359.375	149,789,1663,2136	359.375
Uhr	German	Fraktur	Word	Kolonie-Zeitung-1866-04-21_P03_r1_line0005_word0002	19	1039,5173,112,67	359.75	709,4498,2714,1521	359.75
in	German	Fraktur	Word	Der-Pionier-1888-07-28_P02_r1_line0023_word0003	236	4473,5202,81,73	0.0	3481,2897,1654,6853	0.0
vom	German	Fraktur	Word	Kolonie-Zeitung-1866-08-18_P03_r1_line0004_word0006	21	2382,4706,152,61	0.0	615,4078,2684,951	0.0
und	German	Fraktur	Word	Kolonie-Zeitung-1881-07-09_P03_r1_line0011_word0005	115	2349,6237,126,59	359.75	372,5264,2498,1517	359.75
und	German	Fraktur	Word	Kolonie-Zeitung-1888-11-29_P03_r1_line0010_word0001	184	5428,8418,146,80	0.75	5082,6643,2030,1900	0.75
bittere,	German	Fraktur	Word	Kolonie-Zeitung-1871-09-30_P03_r1_line0018_word0008	52	1736,7454,193,61	0.75	270,6081,2486,2082	0.75
Pauſen	German	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0107_word0001	53	2054,8289,248,83	0.0	330,3310,5103,5551	0.0
verbunden	German	Fraktur	Word	Der-Pionier-1889-07-24_P02_r1_line0007_word0000	254	5213,3874,550,102	0.0	5172,2651,1693,2210	0.0
die	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0043_word0002	64	767,7907,83,60	0.125	441,4191,2488,4398	0.125
Beſten	German	Fraktur	Word	Der-Pionier-1887-08-06_P03_r1_line0000_word0001	213	3008,2182,181,65	0.0	2639,2173,838,1043	0.0
für	German	Fraktur	Word	Kolonie-Zeitung-1870-01-15_P03_r1_line0008_word0004	44	3736,8388,82,67	0.375	2870,7500,2507,1385	0.375
Uhr	German	Fraktur	Word	Kolonie-Zeitung-1874-08-22_P03_r1_line0010_word0006	80	1994,7193,123,80	0.25	215,6474,2520,1242	0.25
das	Portuguese	Italic	Word	Der-Pionier-1891-03-25_P03_r1_line0006_word0005	286	6561,6352,138,73	0.0	5437,5579,1539,1256	0.0
ausgeſtellter	German	Fraktur	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0017_word0005	75	4912,5305,406,89	0.25	2871,3671,2483,4110	0.25
Hamburgiſchen	German	Fraktur	Word	Kolonie-Zeitung-1866-08-18_P03_r1_line0003_word0005	21	2188,4608,506,92	0.0	615,4078,2684,951	0.0
durch	German	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0004_word0004	53	2322,4029,171,82	0.0	330,3310,5103,5551	0.0
NEUE	German	Antiqua	Word	Der-Pionier-1890-05-17_P02_r1_line0005_word0000	268	3471,6911,451,158	359.75	3418,5869,1685,3089	359.75
fernerem	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0008_word0004	64	1328,4883,240,74	0.125	441,4191,2488,4398	0.125
PDPBRX.	-	Antiqua	Word	Kolonie-Zeitung-1866-10-27_P03_r1_line0001_word0001	22	2015,5149,435,95	359.875	701,4861,2645,942	359.875
DE	Portuguese	Antiqua	Word	Kolonie-Zeitung-1875-02-20_P03_r1_line0006_word0001	85	4378,2595,259,132	0.375	2899,1646,3765,2576	0.375
C.	German	Fraktur	Word	Kolonie-Zeitung-1878-11-09_P03_r1_line0006_word0001	100	6203,4246,119,91	0.0	5670,2861,1222,1522	0.0
mich	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0031_word0002	29	3655,6242,125,60	0.125	3251,3515,2466,4041	0.125
J.	German	Fraktur	Word	Kolonie-Zeitung-1872-05-04_P03_r1_line0002_word0002	55	3808,6020,90,86	0.5	2931,5739,2499,1886	0.5
C.	German	Fraktur	Word	Kolonie-Zeitung-1881-01-08_P03_r1_line0010_word0001	107	6069,8795,99,78	0.0	5462,7370,1197,1535	0.0
E.	German	Antiqua	Word	Kolonie-Zeitung-1887-04-08_P03_r1_line0008_word0000	143	3608,2814,101,143	0.0	2762,2286,2021,929	0.0
Gegenwärtiges	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0004_word0007	29	4812,3882,494,91	0.125	3251,3515,2466,4041	0.125
ermächtigt	German	Fraktur	Word	Kolonie-Zeitung-1873-12-20_P03_r1_line0015_word0008	71	2154,6362,342,90	0.0	217,5044,2483,1775	0.0
Nummern,	German	Fraktur	Word	Kolonie-Zeitung-1887-09-23_P03_r1_line0015_word0003	159	1952,7727,458,108	0.0	728,6328,2107,2800	0.0
dritte	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0034_word0006	64	1643,7124,150,60	0.125	441,4191,2488,4398	0.125
Tochter,	German	Fraktur	Word	Kolonie-Zeitung-1875-08-21_P03_r1_line0013_word0002	89	3913,6139,218,62	0.375	3227,4706,2134,1813	0.375
von	German	Fraktur	Word	Deutsches-Wochenblatt-1886-04-17_P03_r1_line0005_word0004	205	1738,2245,59,27	359.625	1140,1834,1100,1065	359.625
Preismedaillen.	German	Fraktur	Word	Kolonie-Zeitung-1900-01-04_P03_r1_line0010_word0009	197	4955,1851,653,92	359.875	2502,785,3144,1396	359.875
grosses	German	Antiqua	Word	Der-Pionier-1889-11-09_P03_r1_line0016_word0004	260	3045,3302,307,77	0.0	1960,539,3397,2986	0.0
Rechnungen	German	Fraktur	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0007_word0005	117	1339,5915,402,91	0.375	374,5316,2516,2688	0.375
recht	German	Fraktur	Word	Kolonie-Zeitung-1887-09-09_P03_r1_line0005_word0001	157	3047,6601,147,78	0.625	2760,5533,2080,1278	0.625
Os	Portuguese	Antiqua	Word	Kolonie-Zeitung-1873-12-20_P03_r1_line0006_word0001	71	623,5535,102,70	0.0	217,5044,2483,1775	0.0
von	German	Fraktur	Word	Der-Pionier-1888-07-28_P02_r1_line0010_word0003	236	4493,4206,153,60	0.0	3481,2897,1654,6853	0.0
M.	German	Fraktur	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0012_word0006	104	5298,6206,127,78	0.0	2950,4949,2494,1438	0.0
Ländereien	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0005_word0002	125	1000,1029,394,89	359.375	233,456,2172,6851	359.375
Deutſches	German	Textura	Word	Kolonie-Zeitung-1870-09-24_P03_r1_line0003_word0000	49	3041,7453,532,154	0.875	3034,7137,1189,1253	0.875
ihnen	German	Fraktur	Word	Kolonie-Zeitung-1870-05-14_P03_r1_line0011_word0006	46	4758,7858,185,83	0.125	2831,6696,2483,1595	0.125
zu	German	Fraktur	Word	Kolonie-Zeitung-1867-11-30_P03_r1_line0002_word0008	27	2635,4236,61,57	359.75	613,4008,2645,2109	359.75
von	German	Fraktur	Word	Kolonie-Zeitung-1881-07-09_P03_r1_line0016_word0003	115	1132,6684,126,59	359.75	372,5264,2498,1517	359.75
von	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0011_word0004	29	4111,4658,128,58	0.125	3251,3515,2466,4041	0.125
Karten	German	Fraktur	Word	Kolonie-Zeitung-1863-10-10_P03_r1_line0027_word0002	5	1309,4282,183,58	0.0	415,2513,3072,1971	0.0
und	German	Fraktur	Word	Kolonie-Zeitung-1868-09-05_P03_r1_line0005_word0003	35	3726,4904,106,55	359.75	3077,4430,2458,1719	359.75
Hopfenkäſe,	German	Fraktur	Word	Kolonie-Zeitung-1881-12-17_P03_r1_line0001_word0002	121	4281,7201,573,127	359.75	2983,7057,2390,1164	359.75
Vogel.	German	Fraktur	Word	Kolonie-Zeitung-1870-05-14_P03_r1_line0008_word0011	46	5106,7587,180,81	0.125	2831,6696,2483,1595	0.125
qualidades,	Portuguese	Antiqua	Word	Der-Pionier-1891-03-18_P02_r1_line0005_word0003	283	6338,2206,465,101	0.25	5161,1473,1711,1910	0.25
Erleichterung.	German	Fraktur	Word	Kolonie-Zeitung-1871-09-30_P03_r1_line0020_word0006	52	1767,7589,389,68	0.75	270,6081,2486,2082	0.75
barris,	Portuguese	Antiqua	Word	Kolonie-Zeitung-1887-07-29_P03_r1_line0021_word0004	152	1730,6138,271,100	0.0	664,3063,2098,3713	0.0
durch	German	Antiqua	Word	Kolonie-Zeitung-1887-04-08_P03_r1_line0003_word0005	143	3672,2553,211,69	0.0	2762,2286,2021,929	0.0
evangeliſch⸗proteſtantiſchen	German	Fraktur	Word	Kolonie-Zeitung-1865-01-21_P03_r1_line0002_word0004	10	1894,3923,1025,93	359.75	466,3706,2921,316	359.75
und	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0031_word0008	29	4932,6242,106,53	0.125	3251,3515,2466,4041	0.125
Waſchblau	German	Fraktur	Word	Kolonie-Zeitung-1889-12-24_P03_r1_line0010_word0001	195	3222,6017,395,102	0.0	2507,4596,2157,3839	0.0
Angriffe	German	Fraktur	Word	Kolonie-Zeitung-1882-08-12_P03_r1_line0033_word0001	126	3545,6457,305,103	0.0	2621,2096,2088,6158	0.0
ſtatt.	German	Fraktur	Word	Kolonie-Zeitung-1873-07-26_P03_r1_line0012_word0002	65	3379,3990,157,83	0.375	2886,2732,2446,1352	0.375
Art	German	Fraktur	Word	Kolonie-Zeitung-1881-06-18_P03_r1_line0004_word0003	114	3748,3499,118,72	359.5	2895,3016,2538,1322	359.5
prompteſte	German	Fraktur	Word	Kolonie-Zeitung-1864-07-16_P03_r1_line0005_word0009	9	2536,3129,354,90	0.125	358,2575,3154,968	0.125
Der	German	Fraktur	Word	Der-Pionier-1889-09-04_P02_r1_line0052_word0000	257	5957,6350,154,70	0.0	5244,463,1713,6266	0.0
nur	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0012_word0003	64	1134,5244,106,46	0.125	441,4191,2488,4398	0.125
von	German	Fraktur	Word	Kolonie-Zeitung-1867-11-30_P03_r1_line0005_word0009	27	2756,4538,103,46	359.75	613,4008,2645,2109	359.75
Geſchaͤft	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0012_word0008	29	5419,4725,274,86	0.125	3251,3515,2466,4041	0.125
Frucht⸗	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0044_word0007	125	2090,4978,232,87	359.375	233,456,2172,6851	359.375
Dampfer	German	Fraktur	Word	Deutsches-Echo-1886-06-19_P05_r1_line0031_word0006	206	3068,1042,153,40	359.375	2331,285,1094,1125	359.375
banhos	Portuguese	Antiqua	Word	Kolonie-Zeitung-1874-05-23_P03_r1_line0007_word0002	77	3608,7078,410,105	0.625	2964,6403,1209,1073	0.625
Da	German	Fraktur	Word	Kolonie-Zeitung-1869-04-24_P03_r1_line0005_word0000	39	554,5530,109,72	359.875	366,4957,2432,1014	359.875
zu	German	Fraktur	Word	Deutsches-Wochenblatt-1886-02-27_P03_r1_line0008_word0000	203	146,2990,38,34	0.25	118,2487,1121,820	0.25
Deutſchland.	German	Fraktur	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0013_word0000	104	4565,6293,431,78	0.0	2950,4949,2494,1438	0.0
ausgeführt	German	Fraktur	Word	Kolonie-Zeitung-1881-07-09_P03_r1_line0012_word0001	115	636,6307,365,91	359.75	372,5264,2498,1517	359.75
Ausſtellung.	German	Textura	Word	Der-Pionier-1889-09-04_P02_r1_line0010_word0002	257	5967,2007,936,236	0.0	5244,463,1713,6266	0.0
ſämmt⸗	German	Fraktur	Word	Kolonie-Zeitung-1874-08-01_P03_r1_line0009_word0009	78	5051,6394,246,83	0.5	2822,5563,2531,1275	0.5
für	German	Fraktur	Word	Kolonie-Zeitung-1867-02-23_P03_r1_line0009_word0001	23	950,5608,103,86	0.125	582,4766,2652,1434	0.125
den	German	Fraktur	Word	Der-Pionier-1888-07-28_P02_r1_line0008_word0002	236	4595,4013,142,74	0.0	3481,2897,1654,6853	0.0
und	German	Fraktur	Word	Kolonie-Zeitung-1865-12-09_P03_r1_line0001_word0010	16	3147,2478,143,79	359.75	512,2300,3067,1018	359.75
Von	German	Fraktur	Word	Kolonie-Zeitung-1863-10-10_P03_r1_line0006_word0001	5	553,3038,145,72	0.0	415,2513,3072,1971	0.0
feitos	Portuguese	Antiqua	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0028_word0000	75	2886,6325,198,69	0.25	2871,3671,2483,4110	0.25
berechnet.	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0035_word0007	64	1611,7207,253,72	0.125	441,4191,2488,4398	0.125
und	German	Fraktur	Word	Kolonie-Zeitung-1881-02-12_P03_r1_line0007_word0002	108	3575,4781,127,59	359.125	2967,4152,2520,1339	359.125
C.	Portuguese	Antiqua	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0044_word0003	75	3784,7694,60,65	0.25	2871,3671,2483,4110	0.25
concurencia	Portuguese	Antiqua	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0040_word0002	75	3091,7352,442,71	0.25	2871,3671,2483,4110	0.25
Kieſewetter.	German	Kanzlei	Word	Kolonie-Zeitung-1879-08-16_P03_r1_line0003_word0001	101	4230,6151,501,111	0.0	3154,5792,2119,560	0.0
mez	Portuguese	Antiqua	Word	Kolonie-Zeitung-1873-12-20_P03_r1_line0003_word0005	71	1453,5303,152,46	0.0	217,5044,2483,1775	0.0
öffentliche	German	Fraktur	Word	Kolonie-Zeitung-1874-08-01_P03_r1_line0012_word0003	78	3977,6655,323,89	0.5	2822,5563,2531,1275	0.5
wird	German	Fraktur	Word	Kolonie-Zeitung-1870-01-15_P03_r1_line0011_word0004	44	3743,8593,127,55	0.375	2870,7500,2507,1385	0.375
der	German	Fraktur	Word	Kolonie-Zeitung-1873-12-20_P03_r1_line0017_word0001	71	600,6566,102,61	0.0	217,5044,2483,1775	0.0
die	German	Fraktur	Word	Der-Pionier-1888-07-28_P02_r1_line0034_word0003	236	4468,6770,117,74	0.0	3481,2897,1654,6853	0.0
Frau.	German	Antiqua	Word	Kolonie-Zeitung-1868-03-21_P03_r1_line0005_word0004	31	1650,5613,166,56	359.5	719,5294,1195,459	359.5
Partoutbillets	German	Fraktur	Word	Kolonie-Zeitung-1874-08-08_P04_r1_line0017_word0007	79	2346,8689,470,75	0.25	344,7231,2520,1833	0.25
abzubrennen.	German	Fraktur	Word	Kolonie-Zeitung-1874-08-22_P03_r1_line0013_word0008	80	1957,7453,438,85	0.25	215,6474,2520,1242	0.25
werden	German	Fraktur	Word	Kolonie-Zeitung-1871-09-30_P03_r1_line0024_word0001	52	611,7883,198,55	0.75	270,6081,2486,2082	0.75
lange	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0007_word0003	64	867,4797,150,79	0.125	441,4191,2488,4398	0.125
Pinto	Portuguese	Textura	Word	Kolonie-Zeitung-1874-08-08_P04_r1_line0012_word0003	79	1932,8216,191,85	0.25	344,7231,2520,1833	0.25
deſſen	German	Fraktur	Word	Deutsches-Echo-1886-06-19_P05_r1_line0030_word0000	206	2334,989,88,43	359.375	2331,285,1094,1125	359.375
Joachim	German	Fraktur	Word	Kolonie-Zeitung-1877-03-10_P03_r1_line0005_word0001	93	3654,6940,313,90	0.75	3228,6441,2477,609	0.75
zu	German	Textura	Word	Kolonie-Zeitung-1887-10-14_P03_r1_line0037_word0000	161	3426,3700,82,70	359.75	2962,969,2082,3254	359.75
secca,	Portuguese	Antiqua	Word	Kolonie-Zeitung-1887-09-23_P03_r1_line0010_word0001	159	1843,7102,362,97	0.0	728,6328,2107,2800	0.0
Agricultura	Portuguese	Antiqua	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0024_word0004	75	4218,5922,497,102	0.25	2871,3671,2483,4110	0.25
zwei	German	Fraktur	Word	Kolonie-Zeitung-1874-05-23_P03_r1_line0001_word0004	77	4009,6510,147,90	0.625	2964,6403,1209,1073	0.625
halten	German	Antiqua	Word	Der-Pionier-1890-09-13_P03_r1_line0010_word0000	276	578,6344,450,157	0.0	183,4536,1794,2622	0.0
und	German	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0009_word0011	53	3562,4519,126,66	0.0	330,3310,5103,5551	0.0
Wendel.	German	Fraktur	Word	Kolonie-Zeitung-1887-06-17_P03_r1_line0004_word0002	149	2000,3840,310,78	359.75	530,3187,2047,939	359.75
Klaußner	German	Textura	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0015_word0002	117	1666,6672,528,153	0.375	374,5316,2516,2688	0.375
verſchiedene	German	Fraktur	Word	Kolonie-Zeitung-1887-04-08_P02_r1_line0001_word0003	142	5496,6272,386,82	359.75	4694,6138,2050,827	359.75
A.	German	Fraktur	Word	Kolonie-Zeitung-1880-10-23_P03_r1_line0013_word0000	106	2194,6615,99,76	0.0	356,5294,2520,1422	0.0
gratis.	German	Fraktur	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0009_word0002	104	3789,5921,221,84	0.0	2950,4949,2494,1438	0.0
werden	German	Fraktur	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0010_word0003	117	966,6189,237,62	0.375	374,5316,2516,2688	0.375
der	German	Fraktur	Word	Der-Pionier-1888-07-28_P02_r1_line0040_word0004	236	4686,7407,132,72	0.0	3481,2897,1654,6853	0.0
Dreſch-Maſchinen,	German	Textura	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0000_word0000	104	3116,4958,1125,192	0.0	2950,4949,2494,1438	0.0
im	German	Fraktur	Word	Kolonie-Zeitung-1873-12-20_P03_r1_line0012_word0003	71	894,6105,89,71	0.0	217,5044,2483,1775	0.0
Cognac	German	Fraktur	Word	Der-Pionier-1888-01-21_P05_r1_line0016_word0000	222	205,8372,326,99	359.5	174,6916,1671,2473	359.5
ſie	German	Fraktur	Word	Kolonie-Zeitung-1881-06-18_P03_r1_line0003_word0006	114	4442,3420,73,84	359.5	2895,3016,2538,1322	359.5
bei	German	Fraktur	Word	Kolonie-Zeitung-1887-08-12_P03_r1_line0004_word0002	153	3164,2850,94,70	0.0	2788,2076,1990,866	0.0
und	German	Fraktur	Word	Deutsches-Echo-1886-06-19_P05_r1_line0034_word0005	206	3327,1172,77,40	359.375	2331,285,1094,1125	359.375
und	German	Fraktur	Word	Der-Pionier-1889-12-18_P02_r1_line0004_word0002	264	5849,9904,154,75	0.0	5262,9145,1708,1335	0.0
Gebäuden,	German	Antiqua	Word	Der-Pionier-1890-05-31_P02_r1_line0005_word0002	270	5790,7351,438,100	359.875	5213,6710,1649,1161	359.875
das	German	Fraktur	Word	Kolonie-Zeitung-1866-03-24_P03_r1_line0001_word0000	18	3621,6691,202,102	0.625	3401,6612,1337,745	0.625
produzir	Portuguese	Antiqua	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0033_word0004	75	3756,6747,324,93	0.25	2871,3671,2483,4110	0.25
erregt	German	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0106_word0005	53	2890,8175,189,90	0.0	330,3310,5103,5551	0.0
Alle	German	Fraktur	Word	Kolonie-Zeitung-1881-07-09_P03_r1_line0009_word0006	115	1537,6050,135,71	359.75	372,5264,2498,1517	359.75
genannten	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0013_word0002	29	3548,4820,339,85	0.125	3251,3515,2466,4041	0.125
Hotel“	German	Fraktur	Word	Der-Pionier-1888-07-28_P02_r1_line0056_word0003	236	4432,9446,290,87	0.0	3481,2897,1654,6853	0.0
Vorſtellung	German	Fraktur	Word	Kolonie-Zeitung-1874-01-31_P03_r1_line0016_word0000	73	1408,5890,517,118	359.75	384,4124,3730,2287	359.75
Baar	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0050_word0006	125	1954,5493,180,73	359.375	233,456,2172,6851	359.375
Rabatt.	German	Fraktur	Word	Kolonie-Zeitung-1872-07-27_P03_r1_line0006_word0000	57	3304,4388,254,74	359.75	3080,3596,2471,885	359.75
kannten	German	Fraktur	Word	Kolonie-Zeitung-1888-12-20_P01_r1_line0010_word0000	187	707,6069,262,69	0.125	668,5136,2088,1657	0.125
H.	German	Fraktur	Word	Kolonie-Zeitung-1868-08-01_P03_r1_line0034_word0004	34	2014,8004,103,91	0.0	483,5282,2500,2814	0.0
Rs.	Portuguese	Fraktur	Word	Kolonie-Zeitung-1874-01-31_P03_r1_line0006_word0002	73	1907,5156,120,74	359.75	384,4124,3730,2287	359.75
von	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0050_word0006	64	2175,8513,104,49	0.125	441,4191,2488,4398	0.125
November	German	Fraktur	Word	Kolonie-Zeitung-1888-10-23_P01_r1_line0003_word0003	182	3552,1504,340,76	0.0	2672,1006,1994,1142	0.0
de	Portuguese	Script	Word	Der-Pionier-1887-10-01_P03_r1_line0010_word0003	218	2382,1740,70,73	0.0	1827,1204,838,846	0.0
des	German	Fraktur	Word	Der-Pionier-1888-10-27_P02_r1_line0005_word0000	242	5375,6930,104,72	0.0	5227,6111,1680,1220	0.0
Dampfſchiffahrts-Geſellſchaft.	German	Textura	Word	Kolonie-Zeitung-1887-05-20_P03_r1_line0001_word0000	147	5085,872,1697,203	359.75	4895,704,2080,3483	359.75
wünſchen,	German	Fraktur	Word	Kolonie-Zeitung-1863-06-06_P03_r1_line0003_word0005	2	1835,4060,375,89	0.125	397,3685,3103,649	0.125
Uhr	German	Fraktur	Word	Kolonie-Zeitung-1873-07-26_P03_r1_line0010_word0001	65	3676,3818,121,78	0.375	2886,2732,2446,1352	0.375
